Name,CountryCode,Population
A CoruÃ±a (La CoruÃ±a),ESP,243402.0
Aalborg,DNK,161161.0
Abadan,IRN,206073.0
Abbotsford,CAN,105403.0
Aberdeen,GBR,213070.0
Abiko,JPN,126670.0
Abohar,IND,107163.0
Abu Dhabi,ARE,398695.0
Accra,GHA,1070000.0
Achalpur,IND,96216.0
Acheng,CHN,197595.0
Adamstown,PCN,42.0
Adana,TUR,1131198.0
Addis Abeba,ETH,2495000.0
Adelaide,AUS,978100.0
Adiyaman,TUR,141529.0
Adoni,IND,136182.0
Afyon,TUR,103984.0
Agadir,MAR,155244.0
Agartala,IND,157358.0
AgaÃ±a,GUM,1139.0
Agra,IND,891790.0
Ahmadpur East,PAK,96000.0
Ahmedabad,IND,2876710.0
Ahome,MEX,358663.0
Ahvaz,IRN,804980.0
Aix-en-Provence,FRA,134222.0
Aizawl,IND,155240.0
Aizuwakamatsu,JPN,119287.0
Ajman,ARE,114395.0
Ajmer,IND,402700.0
Akashi,JPN,292253.0
Akishima,JPN,106914.0
Akita,JPN,314440.0
Akola,IND,328034.0
Akure,NGA,162300.0
Alagoinhas,BRA,126820.0
Alanya,TUR,117300.0
Albacete,ESP,147527.0
Alberton,ZAF,410102.0
AlcalÃ¡ de Henares,ESP,164463.0
AlcorcÃ³n,ESP,142048.0
Alessandria,ITA,90289.0
Alexandria,EGY,3328196.0
Alger,DZA,2168000.0
Alicante [Alacant],ESP,272432.0
Aligarh,IND,480520.0
Alkmaar,NLD,92713.0
Allahabad,IND,792858.0
Allappuzha (Alleppey),IND,174666.0
Almaty,KAZ,1129400.0
Almirante Brown,ARG,538918.0
Alor Setar,MYS,124412.0
Alvorada,BRA,175574.0
Alwar,IND,205086.0
Amadora,PRT,122106.0
Amagasaki,JPN,481434.0
Ambala,IND,122596.0
Ambala Sadar,IND,90712.0
Ambato,ECU,169612.0
Ambattur,IND,215424.0
Ambon,IDN,249312.0
Americana,BRA,177409.0
Amersfoort,NLD,126270.0
Amman,JOR,1000000.0
Amol,IRN,159092.0
Amoy [Xiamen],CHN,627500.0
Amravati,IND,421576.0
